IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14
6,1886,GSI001,85,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
9,1884,GSI001,70,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
14,2151,GSI001,0,Reprovado,1,0,0,2,0,2,2,0,2,2,2,2,0,0
18,2328,GSI001,87,Aprovado,1,1,1,2,2,2,2,2,2,2,2,1,1,1
19,2151,GSI001,85,Aprovado,1,1,1,2,0,2,2,0,2,2,2,2,1,1
20,2185,GSI001,74,Aprovado,1,1,0,2,0,1,2,1,2,2,2,1,1,1
25,2008,GSI001,69,Aprovado,1,1,1,1,1,0,2,2,2,2,1,2,1,1
30,1907,GSI001,12,Reprovado,1,1,0,1,1,2,2,2,2,0,0,2,0,2
31,1907,GSI001,92,Aprovado,1,1,1,1,1,2,2,2,2,1,1,2,1,2
32,1907,GSI001,87,Aprovado,1,1,1,1,1,2,2,2,2,0,1,2,1,2
35,2619,GSI001,100,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
36,2619,GSI001,96,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
37,2008,GSI001,64,Aprovado,1,1,0,1,1,0,2,2,2,2,1,2,0,1
38,2008,GSI001,0,Reprovado,1,0,0,1,0,0,2,2,2,2,0,2,0,1
43,2483,GSI001,90,Aprovado,1,1,2,2,1,1,2,2,1,2,2,2,1,1
51,1884,GSI001,71,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
52,1884,GSI001,74,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
54,2551,GSI001,62,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
55,2551,GSI001,91,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
58,1861,GSI001,0,Reprovado,0,0,0,2,0,0,2,0,0,2,2,2,0,0
63,2089,GSI001,83,Aprovado,1,1,1,1,1,1,1,1,2,2,2,2,1,1
64,2089,GSI001,62,Aprovado,1,1,1,1,1,1,1,1,2,2,2,2,1,1
65,2089,GSI001,74,Aprovado,1,1,1,1,1,1,1,1,2,2,2,2,1,1
67,2008,GSI001,57,Reprovado,1,1,0,1,1,1,2,2,2,2,1,2,1,1
72,1896,GSI001,87,Aprovado,1,1,1,1,1,1,1,2,2,2,2,1,1,1
79,1957,GSI001,89,Aprovado,1,1,1,2,1,1,1,1,2,1,1,2,1,2
80,2407,GSI001,95,Aprovado,1,1,1,0,1,1,2,1,1,1,2,1,0,1
82,2151,GSI001,62,Aprovado,1,1,1,2,1,2,2,0,2,2,2,2,1,1
84,1946,GSI001,82,Aprovado,1,1,1,2,1,1,2,0,2,1,1,1,1,1
87,1884,GSI001,68,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
88,2736,GSI001,93,Aprovado,1,1,1,1,1,1,2,2,2,2,2,1,1,2
89,1861,GSI001,87,Aprovado,1,1,1,2,1,1,2,1,1,2,2,2,1,0
91,1886,GSI001,88,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
94,2483,GSI001,90,Aprovado,1,1,2,2,1,1,2,2,1,2,2,2,1,1
96,1861,GSI001,95,Aprovado,1,1,1,2,0,1,2,1,1,2,2,2,1,1
99,2328,GSI001,76,Aprovado,1,1,1,2,2,2,2,2,2,2,2,1,1,1
102,2328,GSI001,91,Aprovado,0,1,1,2,2,2,2,2,2,2,2,1,1,1
107,1946,GSI001,72,Aprovado,1,1,1,2,1,1,2,0,2,1,1,0,1,1
108,1907,GSI001,81,Aprovado,1,1,1,1,1,2,2,2,2,1,1,2,1,2
109,2089,GSI001,71,Aprovado,1,1,1,1,1,1,1,1,2,2,2,2,1,1
111,1884,GSI001,81,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
115,2185,GSI001,0,Reprovado,0,1,0,2,0,1,2,0,2,2,2,0,0,0
117,1992,GSI001,69,Aprovado,1,1,1,1,2,1,2,1,2,1,1,2,1,1
118,2185,GSI001,93,Aprovado,1,1,1,2,1,1,2,1,2,2,2,1,1,0
119,2619,GSI001,99,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
121,2551,GSI001,83,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
122,1907,GSI001,88,Aprovado,1,1,1,1,1,2,2,2,2,1,1,2,1,2
123,2089,GSI001,68,Aprovado,1,1,1,1,1,1,1,1,2,2,2,2,1,1
127,1884,GSI001,80,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
130,1861,GSI001,87,Aprovado,1,1,0,2,1,1,2,1,1,2,2,2,1,1
131,1992,GSI001,68,Aprovado,1,1,1,1,2,1,2,1,2,1,1,2,1,1
132,1957,GSI001,79,Aprovado,0,0,1,2,1,1,1,1,2,1,0,2,1,2
133,2151,GSI001,68,Aprovado,1,1,0,2,1,2,2,0,2,2,2,2,1,1
134,1884,GSI001,55,Reprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
135,1884,GSI001,67,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
138,1907,GSI001,80,Aprovado,1,1,1,1,1,2,2,2,2,0,1,2,1,2
141,1886,GSI001,90,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
143,2736,GSI001,60,Aprovado,1,1,1,1,1,1,2,2,2,2,2,1,1,2
145,2551,GSI001,90,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
146,2328,GSI001,0,Reprovado,0,0,0,2,2,2,2,2,2,2,2,1,1,1
149,2407,GSI001,95,Aprovado,1,1,1,1,1,1,2,1,0,1,2,0,1,1
154,1896,GSI001,74,Aprovado,1,0,1,1,1,1,1,2,2,2,2,1,1,1
155,1992,GSI001,46,Reprovado,1,1,1,1,2,1,2,1,2,1,1,2,1,1
160,2407,GSI001,95,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
161,2328,GSI001,70,Aprovado,0,1,1,2,2,2,2,2,2,2,2,1,1,1
164,2619,GSI001,97,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
168,2328,GSI001,79,Aprovado,1,1,1,2,2,2,2,2,2,2,2,1,1,1
171,1884,GSI001,71,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
175,2151,GSI001,65,Aprovado,1,1,1,2,1,2,2,1,2,2,2,2,1,1
177,1907,GSI001,84,Aprovado,1,1,1,1,1,2,2,2,2,0,1,2,1,2
181,1884,GSI001,82,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
184,2055,GSI001,77,Aprovado,1,1,1,0,1,1,2,1,2,2,1,2,1,1
185,1896,GSI001,0,Reprovado,1,0,0,1,0,1,0,2,2,2,2,1,1,1
186,2551,GSI001,77,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
199,1884,GSI001,81,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
207,1884,GSI001,69,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
208,2736,GSI001,0,Reprovado,1,1,1,1,1,1,2,2,2,2,2,1,1,2
210,2736,GSI001,88,Aprovado,1,1,1,1,1,1,2,2,2,2,2,1,1,2
211,2736,GSI001,75,Aprovado,1,1,1,1,1,1,2,2,2,2,2,1,1,2
212,2736,GSI001,60,Aprovado,1,1,1,1,1,1,2,2,2,2,2,1,1,2
215,1884,GSI001,89,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
216,1884,GSI001,72,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
217,1884,GSI001,55,Reprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
218,1886,GSI001,69,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
219,1886,GSI001,98,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
220,1886,GSI001,86,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
224,1884,GSI001,60,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
225,1884,GSI001,73,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
228,1884,GSI001,77,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
229,1884,GSI001,75,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
230,2619,GSI001,98,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
234,2656,GSI001,0,Reprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
235,2656,GSI001,95,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
237,2588,GSI001,93,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
241,2619,GSI001,92,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
242,2619,GSI001,100,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
243,2619,GSI001,100,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
244,2619,GSI001,97,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
