IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
9,2391,GSI012,0,Reprovado,1,1,1,1,2,0,0,2,0,0,1,2,2,2,2,2,0,2,2,0,0,0,2
18,1929,GSI012,98,Aprovado,0,1,0,1,1,1,1,1,0,1,1,0,1,1,2,1,1,1,1,1,1,1,2
25,2007,GSI012,72,Aprovado,1,1,0,1,1,1,2,1,1,1,2,2,2,1,2,1,1,2,2,1,0,1,1
35,2643,GSI012,76,Aprovado,0,1,0,1,0,0,2,1,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2
43,1929,GSI012,0,Reprovado,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,1,2
51,2520,GSI012,0,Reprovado,1,2,1,2,1,1,2,2,2,1,1,2,1,2,2,2,1,2,2,1,1,1,2
52,2643,GSI012,62,Aprovado,1,1,1,1,0,1,2,1,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2
63,2028,GSI012,61,Aprovado,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,2,1,1,1,1
64,2028,GSI012,60,Aprovado,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,2,1,1,1,1
70,2001,GSI012,0,Reprovado,1,1,1,1,1,0,1,0,1,0,0,1,0,2,2,0,0,0,0,0,0,1,2
71,2001,GSI012,73,Aprovado,1,1,1,1,1,1,1,1,1,1,0,1,0,2,2,1,1,1,0,1,1,1,2
79,1926,GSI012,60,Aprovado,1,1,0,1,1,1,0,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2
80,2073,GSI012,81,Aprovado,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,2,2,1,2,1,1
84,1929,GSI012,66,Aprovado,1,1,1,1,0,0,1,1,1,1,1,1,0,0,2,1,0,1,1,1,1,1,2
88,2741,GSI012,70,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
91,2691,GSI012,60,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
92,2007,GSI012,60,Aprovado,1,0,0,1,1,1,2,1,0,1,2,2,2,1,2,1,1,2,2,1,0,0,1
94,1956,GSI012,5,Reprovado,1,0,0,1,2,0,1,2,2,0,2,2,2,2,0,2,0,2,2,0,0,0,2
96,1926,GSI012,60,Aprovado,1,1,0,1,1,0,1,0,1,0,0,0,1,2,2,1,1,1,1,0,1,1,2
102,2168,GSI012,0,Reprovado,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,1,1,2
103,1926,GSI012,3,Reprovado,1,1,1,1,1,0,1,1,1,1,1,1,0,2,2,1,1,0,0,0,1,1,2
105,1771,GSI012,0,Reprovado,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,1,1,2
107,1929,GSI012,0,Reprovado,1,1,1,1,0,1,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
109,2001,GSI012,9,Reprovado,1,1,1,0,1,0,1,1,0,1,1,1,0,2,2,1,0,1,1,1,1,1,2
111,2691,GSI012,80,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
115,2007,GSI012,0,Reprovado,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,1,1,2,2,1,1,1,1
120,2741,GSI012,72,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
127,2007,GSI012,63,Aprovado,1,0,1,1,1,1,2,1,1,0,2,2,2,1,2,1,1,2,2,1,1,1,1
129,2001,GSI012,2,Reprovado,1,1,1,1,1,0,1,0,1,0,0,1,1,2,2,0,0,0,1,1,1,1,2
133,1926,GSI012,0,Reprovado,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,1,1,2
135,2691,GSI012,60,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
141,2520,GSI012,0,Reprovado,1,2,1,2,1,1,2,2,2,1,1,2,1,2,2,2,1,2,2,1,1,1,2
143,2520,GSI012,0,Reprovado,1,2,1,2,1,1,2,2,2,1,1,2,1,2,2,2,1,2,2,0,1,0,2
145,2545,GSI012,77,Aprovado,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,1,2,2,1,1,1,2
149,2028,GSI012,60,Aprovado,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,2,1,1,1,1
164,2028,GSI012,0,Reprovado,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,2,1,1,1,1
171,2073,GSI012,63,Aprovado,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,2,2,1,2,1,1
175,1926,GSI012,0,Reprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2
181,2691,GSI012,60,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
182,2391,GSI012,0,Reprovado,1,1,1,1,2,1,0,2,0,0,1,2,2,2,2,2,0,2,2,0,0,0,2
183,2643,GSI012,5,Reprovado,1,1,0,0,0,1,2,0,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2
207,2691,GSI012,78,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
210,2890,GSI012,70,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
211,2520,GSI012,0,Reprovado,1,2,1,2,1,1,2,2,2,1,1,2,1,2,2,2,1,2,2,0,1,0,2
215,2691,GSI012,61,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
216,2293,GSI012,0,Reprovado,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1
218,2545,GSI012,2,Reprovado,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,1,2,2,1,1,1,2
219,2378,GSI012,87,Aprovado,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,2,1,1,2,1
220,2520,GSI012,0,Reprovado,1,2,1,2,1,1,2,2,2,1,1,2,1,2,2,2,1,2,2,1,1,1,2
224,2643,GSI012,21,Reprovado,1,1,0,1,1,1,2,0,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2
228,2670,GSI012,60,Aprovado,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2
229,2691,GSI012,61,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
235,2643,GSI012,4,Reprovado,1,1,1,1,1,1,2,1,2,1,0,2,1,2,2,2,2,2,2,1,1,1,2
237,2520,GSI012,5,Reprovado,1,2,1,2,1,1,2,2,2,1,1,2,1,2,2,2,1,2,2,0,1,0,2
241,2028,GSI012,34,Reprovado,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,0,2,2,0,1,0,0
242,2643,GSI012,71,Aprovado,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2
243,2293,GSI012,60,Aprovado,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1
248,2520,GSI012,0,Reprovado,1,2,1,2,1,1,2,2,2,1,1,2,1,2,2,2,1,2,2,0,1,0,2
250,2643,GSI012,80,Aprovado,1,1,1,0,1,1,2,1,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2
252,2545,GSI012,71,Aprovado,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,1,2,2,1,1,1,2
253,2073,GSI012,77,Aprovado,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,2,2,1,2,1,1
254,2168,GSI012,60,Aprovado,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,1,1,2
256,2378,GSI012,73,Aprovado,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,2,1,1,2,1
