IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
9,2396,GSI014,11,Reprovado,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1
13,2157,GSI014,0,Reprovado,0,2,2,2,2,2,0,0,0,2,0,2,1,2,1,2,1,2,0,2,2,1,2,1,1,1
18,2019,GSI014,71,Aprovado,0,0,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2
19,1652,GSI014,60,Aprovado,1,2,1,1,1,0,0,0,1,1,1,2,0,0,1,1,1,2,1,1,1,1,2,1,1,1
20,1626,GSI014,7,Reprovado,1,0,0,0,2,0,1,0,0,0,0,2,1,1,2,1,1,2,0,0,0,1,2,0,0,1
25,2019,GSI014,71,Aprovado,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2
35,2633,GSI014,71,Aprovado,1,1,1,1,1,2,1,1,1,0,0,1,1,1,2,2,2,2,1,1,1,1,2,0,0,1
43,2232,GSI014,60,Aprovado,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2
51,2633,GSI014,14,Reprovado,1,1,1,1,1,2,1,0,1,0,0,1,1,1,2,2,2,2,1,1,1,0,2,1,1,1
52,2666,GSI014,64,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1
55,2232,GSI014,0,Reprovado,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2
62,1766,GSI014,60,Aprovado,0,2,2,1,1,0,1,1,1,2,0,2,2,2,1,1,1,2,2,2,0,0,1,1,1,2
63,1645,GSI014,77,Aprovado,1,2,1,1,1,1,1,1,2,1,1,2,1,1,0,1,1,1,1,2,1,1,2,1,1,2
64,1645,GSI014,87,Aprovado,0,2,1,1,1,1,1,0,2,1,1,2,1,1,1,0,1,1,1,2,1,1,2,1,1,2
66,1652,GSI014,0,Reprovado,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0
79,1652,GSI014,81,Aprovado,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,0,1,1
80,2370,GSI014,90,Aprovado,1,1,1,1,2,1,1,1,0,2,0,2,2,1,1,1,1,1,0,0,2,2,1,1,1,2
82,1645,GSI014,0,Reprovado,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,2
84,1604,GSI014,62,Aprovado,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2
88,2731,GSI014,60,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,2
91,2693,GSI014,35,Reprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,2
92,1829,GSI014,15,Reprovado,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1
94,2370,GSI014,80,Aprovado,1,1,1,1,2,1,1,1,0,2,0,2,2,1,1,1,1,1,1,1,2,2,1,0,1,2
96,1789,GSI014,36,Reprovado,1,2,2,1,2,1,1,1,1,1,1,2,1,2,0,2,1,1,1,1,1,2,2,0,1,1
102,2157,GSI014,72,Aprovado,1,2,2,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,0,2,2,1,2,1,1,1
103,2232,GSI014,60,Aprovado,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2
109,1626,GSI014,21,Reprovado,0,0,0,1,2,1,1,1,1,1,0,2,1,1,2,1,1,2,1,1,1,1,2,0,1,1
111,2693,GSI014,83,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,2
115,2019,GSI014,21,Reprovado,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2
119,2633,GSI014,11,Reprovado,0,0,1,0,0,2,1,1,1,0,1,0,1,0,2,2,2,2,0,1,0,0,2,0,0,1
121,1829,GSI014,33,Reprovado,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1
123,1645,GSI014,76,Aprovado,1,2,1,1,1,1,1,0,2,1,1,2,1,1,0,0,1,1,1,2,1,1,2,1,1,2
127,1829,GSI014,70,Aprovado,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1
129,1626,GSI014,32,Reprovado,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1
130,2370,GSI014,0,Reprovado,1,1,1,1,2,1,1,1,0,2,0,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2
135,2666,GSI014,76,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1
141,2521,GSI014,0,Reprovado,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,0,0,1,0,0,0,2,0,1,0,0
143,2731,GSI014,60,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,2
145,1829,GSI014,65,Aprovado,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1
149,1645,GSI014,60,Aprovado,1,2,1,1,1,1,1,0,2,1,1,2,1,1,1,1,0,0,1,2,1,1,2,1,1,2
154,1604,GSI014,0,Reprovado,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2
155,1720,GSI014,28,Reprovado,1,1,1,1,2,1,1,1,1,0,1,2,2,1,2,2,1,2,1,1,1,1,2,1,1,1
161,1626,GSI014,0,Reprovado,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,1,1,2,0,0,0,1,2,0,0,1
164,1766,GSI014,60,Aprovado,1,2,2,1,0,1,1,1,0,2,1,2,2,2,0,0,1,2,2,2,0,0,0,1,1,2
175,1645,GSI014,68,Aprovado,1,2,1,1,1,1,0,0,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,2
181,2232,GSI014,65,Aprovado,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2
186,1829,GSI014,39,Reprovado,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1
207,2693,GSI014,72,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,2
210,2879,GSI014,61,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1
211,2693,GSI014,24,Reprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,2
215,2693,GSI014,61,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,2
216,2666,GSI014,70,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1
218,1829,GSI014,12,Reprovado,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,0,0,0,0,2,0,0,0
219,2396,GSI014,83,Aprovado,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1
220,2666,GSI014,60,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1
224,2633,GSI014,31,Reprovado,0,1,1,0,0,2,1,1,1,0,1,1,1,1,2,2,2,2,1,1,1,1,2,0,0,1
225,2666,GSI014,0,Reprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1
228,1721,GSI014,76,Aprovado,1,1,1,1,1,1,0,1,0,0,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1
229,2693,GSI014,63,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,2
235,2666,GSI014,6,Reprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1
237,1829,GSI014,60,Aprovado,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1
241,1829,GSI014,51,Reprovado,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1
242,2633,GSI014,60,Aprovado,1,1,1,1,1,2,1,1,1,0,1,1,1,1,2,2,2,2,1,1,1,1,2,1,1,1
243,1789,GSI014,60,Aprovado,1,2,2,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,2,1,1,1
248,2521,GSI014,5,Reprovado,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,0,0,1,0,0,0,2,0,1,0,0
251,1829,GSI014,1,Reprovado,1,2,2,2,2,0,1,2,1,0,0,2,0,0,0,2,0,2,0,0,0,0,2,0,0,0
252,1829,GSI014,81,Aprovado,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1
254,1829,GSI014,60,Aprovado,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1
256,1829,GSI014,60,Aprovado,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1
261,2396,GSI014,60,Aprovado,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1
272,1789,GSI014,2,Reprovado,1,2,2,0,2,0,0,1,0,1,1,2,0,2,0,2,0,0,0,0,0,2,2,0,1,0
274,1721,GSI014,75,Aprovado,1,1,1,1,1,1,0,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1
277,2157,GSI014,82,Aprovado,1,2,2,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,1
284,2157,GSI014,61,Aprovado,1,2,2,2,2,2,1,1,1,2,0,2,1,2,1,2,1,2,1,2,2,1,2,1,1,1
285,2232,GSI014,75,Aprovado,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2
287,1720,GSI014,60,Aprovado,1,1,0,1,2,1,1,0,1,1,1,2,2,1,2,2,1,2,1,1,1,1,2,1,1,1
288,1721,GSI014,93,Aprovado,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1
290,1604,GSI014,42,Reprovado,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2
302,1626,GSI014,3,Reprovado,0,0,1,0,2,1,0,0,0,0,0,2,0,1,2,1,1,2,0,0,0,1,2,0,0,1
305,1721,GSI014,67,Aprovado,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1
310,1766,GSI014,60,Aprovado,0,2,2,1,1,1,1,1,0,2,0,2,2,2,1,1,1,2,2,2,1,1,0,1,1,2
313,1720,GSI014,0,Reprovado,0,0,0,0,2,0,0,0,0,0,0,2,2,0,2,2,0,2,1,1,1,0,2,0,0,1
315,1626,GSI014,15,Reprovado,1,0,1,0,2,1,1,1,1,1,1,2,1,1,2,1,1,2,0,0,0,1,2,1,1,1
316,1626,GSI014,5,Reprovado,0,0,1,1,2,0,1,0,1,1,1,2,0,0,2,1,1,2,0,0,0,1,2,0,0,1
319,1645,GSI014,86,Aprovado,1,2,1,1,1,1,1,1,2,1,1,2,0,1,1,1,0,1,1,2,1,1,2,1,1,2
321,2019,GSI014,77,Aprovado,0,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2
