IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
9,1796,GSI017,17,Reprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,0,2,0,2,2,2,1,1,1,1,1,1,0,0,2,2,2,2,2,2,1,1,1,2,1,0,1,0,2,2,0,0,0,1,0,1,1
13,1739,GSI017,0,Reprovado,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,2,2,1,1,1,1,1,2,2,2,1,2,2,0,0,0
18,2177,GSI017,69,Aprovado,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,2,1,1,1
19,1668,GSI017,15,Reprovado,1,1,1,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,0,2,2,2,2,2,1,1,1,1,1,1,1,2,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,1,2
20,1739,GSI017,61,Aprovado,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,0,2,2,1,2,2,2,1,1,1,1,1,2,2,2,1,2,2,1,1,1
25,1953,GSI017,68,Aprovado,1,1,1,0,2,1,2,2,0,0,0,2,2,2,2,2,0,2,2,1,2,2,2,2,2,2,1,1,0,1,1,1,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1
30,1593,GSI017,0,Reprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,0,2,2,1,2,2,0,2,2,2,2,2,1,0,2,1,1,1,1,2,1,2,1,2,2,0,1,0,0,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,0,2,2,2,2,1,0,2
34,1739,GSI017,20,Reprovado,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,0,2,2,1,2,2,2,1,1,1,1,1,2,2,2,1,2,2,1,1,1
35,2522,GSI017,82,Aprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,0,2,0,2,2,2,1,1,1,1,1,1,0,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2
38,1776,GSI017,0,Reprovado,0,0,2,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,2,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1,2,2,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,2
43,2177,GSI017,53,Reprovado,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,2,1,1,1
51,2522,GSI017,6,Reprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,0,2,0,2,2,2,0,0,0,1,1,0,1,0,2,2,2,2,2,2,1,1,1,2,1,0,0,1,2,2,0,1,1,1,0,1,2
52,2522,GSI017,60,Aprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,0,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2
55,1776,GSI017,0,Reprovado,1,0,2,2,0,1,2,0,2,0,0,2,0,0,0,0,0,0,2,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1,2,2,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,2
62,1609,GSI017,44,Reprovado,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2,2,1,1,0,1,1,1,2,0,0,0,2,1,2,1,1,1,1
64,1609,GSI017,73,Aprovado,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0,0,1,1,1,2,1,0,0,2,1,2,0,1,1,1
66,1739,GSI017,9,Reprovado,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,0,2,2,2,2,1,2,2,1,2,2,2,1,1,1,1,1,2,2,2,1,2,2,0,0,1
70,1668,GSI017,31,Reprovado,1,1,1,0,0,1,2,1,1,1,1,1,1,0,0,0,0,0,2,1,0,0,0,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,0,0,1,1,1,0,0,2,2,2,2,2,2,1,1,2
72,1953,GSI017,2,Reprovado,1,1,1,1,2,1,2,2,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,0,1,1,1,2,2,2,2,2,2,2,1,2,2,1,0,2,2,0,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1
79,1593,GSI017,0,Reprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2
80,2177,GSI017,77,Aprovado,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,2,1,1,1
82,1609,GSI017,46,Reprovado,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1
86,1888,GSI017,0,Reprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,2,1,2,1,2,2,2,2,1,1,2
88,1834,GSI017,70,Aprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2
94,1668,GSI017,5,Reprovado,1,1,1,1,1,1,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,1,1,2,0,0,0,1,2,2,2,2,2,1,1,1,1,1,1,1,2,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,1,2
96,2289,GSI017,61,Aprovado,1,1,1,2,1,1,2,0,0,0,0,1,1,0,0,0,0,0,1,2,1,1,1,0,1,1,1,1,1,1,2,2,2,1,1,1,0,0,0,0,1,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1
102,1776,GSI017,60,Aprovado,1,1,2,2,1,1,2,1,2,1,1,2,0,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1,2,2,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
103,1739,GSI017,62,Aprovado,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,2,2,1,1,1,1,1,2,2,2,1,2,2,1,1,1
111,1888,GSI017,94,Aprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,2,1,2,1,2,2,2,2,1,1,2
118,1739,GSI017,10,Reprovado,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,2,2,1,1,1,1,1,2,2,2,1,2,2,0,0,1
120,1834,GSI017,100,Aprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2
123,1609,GSI017,78,Aprovado,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,0,1,1,1,2,1,0,0,2,1,2,0,1,1,1
127,1833,GSI017,6,Reprovado,0,2,2,1,2,1,1,2,0,0,0,2,2,1,1,1,1,2,2,0,0,0,0,0,2,1,1,2,1,2,2,2,2,2,2,0,0,2,2,0,1,2,2,2,2,2,2,1,2,2,2,2,2,0,0,2,2,1,0,0,2,2,0,0,0
