IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
18,1719,GSI018,98,Aprovado,1,1,1,0,1,2,1,0,1,1,0,1,2,0,2,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2
25,1634,GSI018,68,Aprovado,1,1,2,2,1,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1,1
35,2635,GSI018,82,Aprovado,1,1,0,1,1,2,2,2,2,2,0,1,1,2,0,2,2,2,2,1,2,2,1,0,0,1,1,0,2,2,0,2,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1
37,1602,GSI018,9,Reprovado,0,1,1,1,1,2,2,2,2,2,1,2,0,2,2,2,2,2,0,1,2,2,0,1,2,2,1,0,2,2,2,1,2,0,1,2,0,2,2,2,2,2,2,2,2,1,2,0,2,2,2,2,2,2,0,2
43,1711,GSI018,40,Reprovado,1,2,1,1,2,2,2,1,2,1,1,1,2,1,2,1,2,2,0,2,2,1,2,2,2,2,1,1,1,2,0,0,2,0,2,0,0,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2
52,2635,GSI018,70,Aprovado,1,1,0,1,1,2,2,2,2,2,0,0,1,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1
62,1605,GSI018,30,Reprovado,1,1,0,1,1,2,2,2,2,2,0,2,1,2,2,2,2,2,1,1,2,2,1,0,2,2,1,0,2,2,2,0,2,0,1,2,0,2,2,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,0,2
64,1718,GSI018,66,Aprovado,1,0,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,0,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,1
79,1602,GSI018,83,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
80,1719,GSI018,67,Aprovado,1,1,1,1,1,2,1,1,1,0,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,0,1,1,2,1,1,2,1,2,1,0,2,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2
88,2695,GSI018,81,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
92,1686,GSI018,14,Reprovado,0,1,2,0,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,1,2,2,2,0,2,2,2,1,1,2,2,2,0,1,2,2,1,1,1
96,1758,GSI018,72,Aprovado,0,1,1,1,2,2,2,1,0,0,0,0,2,1,2,0,2,2,1,1,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,2,0,0,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2
101,1602,GSI018,2,Reprovado,1,0,1,1,1,2,2,2,2,2,1,2,0,2,2,2,2,2,0,1,2,2,0,0,2,2,0,0,2,2,2,1,2,0,1,2,0,2,2,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,0,2
102,1681,GSI018,73,Aprovado,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,0,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2
103,1719,GSI018,72,Aprovado,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2
111,2695,GSI018,80,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
113,1632,GSI018,47,Reprovado,1,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,1,2,1,1,2,1,2,2,1,0,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1
120,2742,GSI018,94,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
123,1718,GSI018,82,Aprovado,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,1,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,1,1
127,1758,GSI018,70,Aprovado,0,1,1,1,2,2,2,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2
129,1605,GSI018,16,Reprovado,1,1,1,1,1,2,2,2,2,2,0,2,1,2,2,2,2,2,1,1,2,2,0,0,2,2,1,0,2,2,2,0,2,0,1,2,0,2,2,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,0,2
135,2635,GSI018,71,Aprovado,0,1,1,1,1,2,2,2,2,2,0,1,1,2,1,2,2,2,2,1,2,2,1,1,1,1,1,0,2,2,0,2,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,1,1
141,2715,GSI018,71,Reprovado por Freqüência,0,1,1,2,2,2,2,2,2,0,2,1,1,0,1,2,0,0,2,2,2,2,2,2,2,1,0,1,2,2,0,0,0,0,0,2,0,2,0,2,0,1,0,0,2,0,2,2,0,0,2,2,2,1,1,2
143,2742,GSI018,61,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
148,1824,GSI018,60,Aprovado,0,1,1,0,0,0,2,1,2,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1,2,2,0,0,2,1,0,0,2,1,2,2,2,1,2,2,2,2,2,2,1,0,2,1,1,2,0,0,2,1,1,2
149,1758,GSI018,62,Aprovado,0,1,1,1,2,2,2,1,0,1,1,1,2,1,2,1,2,2,1,1,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,2,1,1,2,1,1,2,0,2,2,2,2,2,2,2,0,1,2
151,1656,GSI018,60,Aprovado,1,1,2,1,2,2,2,1,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,1,2,2,2,2,2,2,1,2,0,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2
164,2635,GSI018,66,Aprovado,0,1,1,1,1,2,2,2,2,2,1,0,1,2,1,2,2,2,2,1,2,2,1,1,1,1,1,0,2,2,0,2,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1
171,2695,GSI018,70,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
175,1602,GSI018,0,Reprovado,0,0,0,1,0,2,2,2,2,2,0,2,0,2,2,2,2,2,0,0,2,2,0,0,2,2,0,0,2,2,2,0,2,0,0,2,0,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,0,2
179,1711,GSI018,80,Aprovado,0,2,1,1,2,2,2,1,2,1,1,1,2,1,2,1,2,2,1,2,2,0,2,2,2,2,1,1,1,2,1,1,2,1,2,1,0,2,2,2,1,2,1,1,2,0,2,2,2,2,2,2,2,0,1,2
180,1711,GSI018,72,Aprovado,0,2,1,1,2,2,2,1,2,1,1,1,2,1,2,1,2,2,1,2,2,0,2,2,2,2,1,1,1,2,1,1,2,1,2,1,0,2,2,2,1,2,1,1,2,0,2,2,2,2,2,2,2,0,1,2
181,2695,GSI018,60,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
207,2695,GSI018,96,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
210,2901,GSI018,87,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
