IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
9,1864,GSI020,74,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
18,1815,GSI020,60,Aprovado,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1
25,1631,GSI020,85,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
35,2527,GSI020,64,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
43,1815,GSI020,73,Aprovado,1,2,2,1,2,2,2,0,2,2,0,2,2,2,2,2,2,1,1,1
50,1846,GSI020,94,Aprovado,1,0,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
52,1815,GSI020,64,Aprovado,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1
62,1637,GSI020,0,Reprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
63,1637,GSI020,75,Aprovado,1,2,1,2,1,2,1,2,1,0,1,2,1,1,1,1,1,2,1,1
64,1637,GSI020,70,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
79,1590,GSI020,85,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
80,1753,GSI020,60,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,2,2,1,2
82,1637,GSI020,60,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
88,2696,GSI020,75,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
92,1704,GSI020,65,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
96,1753,GSI020,64,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,2,2,1,2
102,1777,GSI020,62,Aprovado,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1
103,1815,GSI020,68,Aprovado,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1
104,1590,GSI020,60,Aprovado,1,2,1,2,1,2,0,2,1,1,1,2,1,1,1,1,1,2,1,1
109,1704,GSI020,0,Reprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
111,2696,GSI020,84,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
113,1808,GSI020,86,Aprovado,1,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,1,1,1
119,2527,GSI020,64,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
120,2744,GSI020,79,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
123,1637,GSI020,86,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
127,1637,GSI020,0,Reprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
129,1684,GSI020,0,Reprovado,1,2,1,2,0,2,1,2,1,1,1,2,1,1,1,2,2,2,1,2
131,1590,GSI020,45,Reprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
135,1846,GSI020,66,Aprovado,1,0,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
141,2744,GSI020,65,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
143,2744,GSI020,60,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
149,1815,GSI020,69,Aprovado,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1
164,2037,GSI020,72,Aprovado,0,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,0,1,1
171,2696,GSI020,69,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
