"ID_MATRICULA";"datamatricula";"qtdhorasdia";"modalidadeidmodalidade";"datafinalizacao"
670;"2021-05-04";"06:00:00";"3";
1180;"2021-05-04";"06:00:00";"3";
543;"2021-05-04";"06:00:00";"3";
2718;"2021-04-27";"08:00:00";"2";
2752;"2021-04-27";"08:00:00";"2";
2859;"2021-04-25";"06:00:00";"3";
2282;"2021-04-20";"08:00:00";"2";
2692;"2021-04-20";"08:00:00";"2";
3042;"2021-04-19";"04:00:00";"3";
1383;"2021-04-12";"06:00:00";"3";
2441;"2021-04-05";"06:00:00";"3";
1315;"2021-03-30";"06:00:00";"3";
1392;"2021-03-29";"06:00:00";"3";
570;"2021-03-25";"06:00:00";"3";
2817;"2021-03-24";"08:00:00";"2";
1110;"2021-03-16";"06:00:00";"3";
1326;"2021-03-10";"06:00:00";"3";
3062;"2021-03-10";"06:00:00";"3";
138;"2021-03-08";"06:00:00";"3";
2691;"2021-03-08";"06:00:00";"3";
3061;"2021-03-08";"06:00:00";"3";
1154;"2021-03-08";"08:00:00";"2";
42;"2021-03-05";"08:00:00";"2";
1463;"2021-03-03";"08:00:00";"2";
1513;"2021-03-03";"06:00:00";"3";
429;"2021-03-03";"06:00:00";"3";
2850;"2021-03-03";"06:00:00";"3";
2889;"2021-03-03";"06:00:00";"3";
3063;"2021-03-03";"06:00:00";"3";
25;"2021-03-02";"06:00:00";"3";
1277;"2021-03-01";"06:00:00";"3";
1390;"2021-02-25";"06:00:00";"3";
2896;"2021-02-22";"06:00:00";"3";
3094;"2021-02-04";"06:00:00";"3";
2743;"2021-01-04";"06:00:00";"3";"2021-04-20"
3101;"2020-12-20";"06:00:00";"3";
2735;"2020-12-15";"06:00:00";"3";
2775;"2020-12-14";"06:00:00";"3";
2985;"2020-12-12";"06:00:00";"3";
2999;"2020-12-11";"06:00:00";"3";
345;"2020-12-07";"06:00:00";"3";
440;"2020-12-07";"06:00:00";"3";"2021-04-08"
2983;"2020-12-07";"06:00:00";"3";
3062;"2020-12-07";"06:00:00";"3";"2021-03-17"
1554;"2020-12-07";"06:00:00";"3";
3128;"2020-12-03";"06:00:00";"3";"2021-03-29"
2924;"2020-11-26";"06:00:00";"3";
2630;"2020-11-25";"08:00:00";"2";"2021-03-17"
2760;"2020-11-18";"06:00:00";"3";
2932;"2020-11-17";"06:00:00";"3";
79;"2020-11-11";"06:00:00";"3";
352;"2020-10-16";"06:00:00";"3";
2813;"2020-10-15";"08:00:00";"2";
1277;"2020-10-13";"06:00:00";"3";"2021-03-10"
3017;"2020-10-02";"06:00:00";"3";
3051;"2020-10-02";"06:00:00";"3";
2820;"2020-10-01";"06:00:00";"3";
1240;"2020-09-22";"06:00:00";"3";
2666;"2020-09-17";"08:00:00";"2";"2020-12-11"
3083;"2020-09-15";"06:00:00";"3";
1149;"2020-09-02";"06:00:00";"3";
2785;"2020-08-27";"08:00:00";"3";
2808;"2020-08-26";"06:00:00";"3";
305;"2020-08-26";"06:00:00";"3";
3128;"2020-08-17";"06:00:00";"3";"2020-11-04"
2994;"2020-08-14";"06:00:00";"3";
2116;"2020-08-13";"06:00:00";"3";"2020-12-28"
3035;"2020-08-04";"06:00:00";"3";
785;"2020-08-02";"06:00:00";"3";
2870;"2020-07-29";"06:00:00";"3";
2930;"2020-07-28";"06:00:00";"3";
82;"2020-07-27";"06:00:00";"3";
2691;"2020-07-20";"06:00:00";"3";"2020-11-04"
2695;"2020-07-17";"06:00:00";"3";
2820;"2020-07-15";"06:00:00";"1";"2020-10-01"
747;"2020-07-10";"06:00:00";"3";"2021-04-27"
2945;"2020-07-03";"06:00:00";"3";
2588;"2020-06-30";"06:00:00";"3";
2833;"2020-06-29";"06:00:00";"3";
889;"2020-06-25";"06:00:00";"3";
2555;"2020-06-18";"06:00:00";"3";
2908;"2020-06-18";"06:00:00";"3";
564;"2020-06-17";"08:00:00";"2";
2870;"2020-06-16";"06:00:00";"3";"2020-07-14"
3007;"2020-05-11";"06:00:00";"3";
2734;"2020-05-06";"06:00:00";"3";
2451;"2020-03-18";"08:00:00";"2";"2020-06-05"
559;"2020-03-17";"06:00:00";"3";"2020-08-11"
2763;"2020-03-12";"06:00:00";"3";"2021-04-27"
1687;"2020-03-12";"06:00:00";"3";"2021-04-20"
2399;"2020-03-11";"06:00:00";"3";
2915;"2020-03-11";"06:00:00";"3";
1548;"2020-03-11";"06:00:00";"3";
1272;"2020-03-10";"08:00:00";"2";"2020-05-20"
566;"2020-03-06";"06:00:00";"3";
2840;"2020-03-03";"06:00:00";"3";
1430;"2020-03-03";"06:00:00";"3";
1565;"2020-03-03";"06:00:00";"1";"2020-03-03"
2619;"2020-03-03";"06:00:00";"3";"2020-09-16"
2916;"2020-03-03";"06:00:00";"3";
2760;"2020-03-03";"06:00:00";"3";"2020-11-16"
1276;"2020-02-27";"08:00:00";"2";"2021-03-24"
2773;"2020-02-27";"06:00:00";"3";"2020-09-22"
785;"2020-02-27";"06:00:00";"3";"2020-08-11"
2172;"2020-02-20";"06:00:00";"3";
2695;"2020-02-20";"06:00:00";"3";"2020-06-16"
2853;"2020-02-19";"06:00:00";"3";
2738;"2020-02-19";"06:00:00";"3";"2020-07-15"
2429;"2020-02-17";"08:00:00";"2";
2489;"2020-02-10";"06:00:00";"2";"2020-04-29"
311;"2020-01-28";"06:00:00";"3";"2020-11-24"
824;"2020-01-24";"06:00:00";"3";
390;"2020-01-16";"06:00:00";"3";
498;"2020-01-14";"08:00:00";"3";
2863;"2020-01-09";"06:00:00";"3";
2961;"2020-01-07";"06:00:00";"3";
631;"2020-01-07";"06:00:00";"3";
2213;"2019-12-19";"06:00:00";"3";
82;"2019-12-19";"06:00:00";"3";"2020-06-04"
2527;"2019-12-18";"06:00:00";"3";"2020-11-30"
2740;"2019-12-18";"06:00:00";"3";
2947;"2019-12-18";"06:00:00";"3";
2266;"2019-12-17";"08:00:00";"2";"2020-04-06"
393;"2019-12-17";"06:00:00";"3";
2860;"2019-12-17";"06:00:00";"3";"2020-07-29"
735;"2019-12-17";"06:00:00";"3";
1285;"2019-12-17";"06:00:00";"3";"2021-03-29"
2937;"2019-12-11";"06:00:00";"3";
319;"2019-12-10";"06:00:00";"3";
2487;"2019-12-10";"08:00:00";"2";"2020-07-20"
423;"2019-12-05";"06:00:00";"3";
2784;"2019-12-05";"06:00:00";"3";
1697;"2019-12-05";"06:00:00";"3";
2846;"2019-12-04";"06:00:00";"3";
1222;"2019-11-28";"08:00:00";"2";
2868;"2019-11-25";"04:00:00";"3";"2021-03-24"
2306;"2019-11-21";"08:00:00";"2";
2639;"2019-11-21";"08:00:00";"2";
2523;"2019-11-20";"08:00:00";"2";"2020-03-24"
1508;"2019-11-19";"06:00:00";"3";
2902;"2019-11-14";"06:00:00";"3";"2021-04-16"
2632;"2019-11-14";"08:00:00";"2";"2020-07-02"
1229;"2019-11-05";"08:00:00";"2";"2019-12-12"
1418;"2019-11-05";"08:00:00";"2";
3181;"2019-10-31";"06:00:00";"3";
1141;"2019-10-31";"08:00:00";"2";
2880;"2019-10-29";"06:00:00";"3";
675;"2019-10-24";"06:00:00";"3";
2797;"2019-10-23";"06:00:00";"3";"2020-03-11"
1585;"2019-10-22";"06:00:00";"3";
1691;"2019-10-22";"06:00:00";"3";
2818;"2019-10-22";"06:00:00";"3";
487;"2019-10-21";"06:00:00";"1";"2020-05-08"
1128;"2019-10-17";"06:00:00";"3";
2662;"2019-10-16";"06:00:00";"3";"2020-01-08"
2722;"2019-10-15";"04:00:00";"3";
2604;"2019-10-15";"06:00:00";"3";
2874;"2019-10-14";"06:00:00";"3";"2020-09-21"
274;"2019-10-10";"06:00:00";"3";"2020-05-05"
2283;"2019-10-09";"08:00:00";"2";"2019-12-18"
2696;"2019-09-24";"08:00:00";"3";"2020-04-24"
1171;"2019-09-20";"08:00:00";"2";"2020-02-19"
529;"2019-09-19";"06:00:00";"3";
721;"2019-09-19";"08:00:00";"2";"2020-02-20"
503;"2019-09-17";"06:00:00";"3";
1630;"2019-09-12";"06:00:00";"3";
1283;"2019-09-12";"06:00:00";"3";"2020-09-16"
1378;"2019-09-12";"06:00:00";"3";"2021-05-05"
321;"2019-09-12";"06:00:00";"3";"2020-02-20"
581;"2019-09-10";"08:00:00";"2";"2020-01-17"
1371;"2019-09-10";"08:00:00";"2";"2020-01-17"
2961;"2019-09-10";"06:00:00";"3";
2213;"2019-09-10";"06:00:00";"3";"2019-12-12"
2665;"2019-09-05";"06:00:00";"3";"2021-03-10"
1434;"2019-09-05";"06:00:00";"3";
820;"2019-09-04";"08:00:00";"2";"2020-01-16"
23;"2019-09-04";"08:00:00";"2";"2019-12-19"
631;"2019-09-03";"06:00:00";"3";"2020-01-09"
1430;"2019-09-03";"06:00:00";"3";"2020-02-18"
2281;"2019-09-03";"08:00:00";"2";"2020-01-16"
558;"2019-09-03";"06:00:00";"3";"2020-01-16"
1209;"2019-09-02";"06:00:00";"3";
1209;"2019-09-02";"06:00:00";"3";
2403;"2019-08-28";"06:00:00";"2";
2713;"2019-08-27";"06:00:00";"3";
1628;"2019-08-21";"08:00:00";"2";"2019-12-17"
2694;"2019-08-20";"06:00:00";"3";
2963;"2019-08-14";"06:00:00";"3";
1229;"2019-07-23";"08:00:00";"2";"2019-12-12"
305;"2019-07-22";"06:00:00";"3";"2020-02-18"
1688;"2019-07-10";"06:00:00";"3";"2019-10-09"
2524;"2019-07-10";"06:00:00";"3";
531;"2019-07-09";"08:00:00";"2";"2019-12-10"
2726;"2019-07-02";"08:00:00";"2";"2020-02-20"
2846;"2019-07-02";"06:00:00";"3";"2019-12-03"
2421;"2019-06-26";"05:00:00";"3";
103;"2019-06-13";"08:00:00";"2";"2019-10-15"
390;"2019-06-06";"06:00:00";"3";"2020-01-14"
409;"2019-06-05";"04:00:00";"3";
2704;"2019-05-30";"06:00:00";"3";
739;"2019-05-16";"06:00:00";"3";
321;"2019-05-14";"06:00:00";"3";"2019-09-12"
2792;"2019-05-07";"04:00:00";"3";
2638;"2019-05-07";"04:00:00";"3";
2792;"2019-05-02";"04:00:00";"3";
1689;"2019-04-25";"06:00:00";"3";"2019-08-14"
2738;"2019-04-24";"06:00:00";"3";"2019-12-03"
1154;"2019-04-23";"04:00:00";"3";"2020-12-01"
628;"2019-04-23";"06:00:00";"3";
392;"2019-04-23";"06:00:00";"3";
488;"2019-04-23";"06:00:00";"3";
631;"2019-04-23";"06:00:00";"3";"2020-01-09"
2170;"2019-04-16";"08:00:00";"2";"2019-08-22"
729;"2019-04-11";"08:00:00";"2";"2019-07-09"
2177;"2019-04-11";"08:00:00";"2";"2019-07-02"
2505;"2019-04-10";"06:00:00";"3";"2019-11-07"
319;"2019-04-09";"06:00:00";"3";"2019-10-03"
63;"2019-04-09";"08:00:00";"2";"2019-11-07"
2937;"2019-04-09";"06:00:00";"3";"2019-11-13"
2766;"2019-04-09";"06:00:00";"3";"2019-10-10"
1571;"2019-04-09";"08:00:00";"2";"2019-06-26"
2620;"2019-04-01";"06:00:00";"3";"2019-07-05"
2421;"2019-03-28";"05:00:00";"3";"2019-09-24"
2782;"2019-03-28";"06:00:00";"3";
2486;"2019-03-26";"06:00:00";"3";
2874;"2019-03-26";"06:00:00";"3";"2020-01-08"
2678;"2019-03-26";"06:00:00";"3";"2019-09-05"
534;"2019-03-26";"06:00:00";"3";"2019-11-12"
386;"2019-03-26";"06:00:00";"3";
2653;"2019-03-13";"06:00:00";"3";
485;"2019-03-12";"06:00:00";"3";
2590;"2019-03-12";"05:00:00";"3";"2019-12-03"
326;"2019-03-07";"06:00:00";"3";"2019-09-19"
1630;"2019-03-07";"06:00:00";"3";
880;"2019-03-07";"06:00:00";"3";
2740;"2019-03-01";"06:00:00";"3";
64;"2019-02-27";"06:00:00";"3";
808;"2019-02-05";"06:00:00";"3";"2019-12-10"
2638;"2019-01-30";"06:00:00";"3";
2790;"2019-01-17";"06:00:00";"3";"2019-08-27"
2980;"2019-01-16";"06:00:00";"3";
2962;"2019-01-16";"05:00:00";"3";
608;"2019-01-16";"06:00:00";"3";"2019-05-09"
2844;"2019-01-15";"06:00:00";"3";
1375;"2019-01-14";"06:00:00";"3";"2019-04-23"
2480;"2019-01-07";"06:00:00";"3";"2019-05-28"
1688;"2018-12-20";"06:00:00";"3";"2019-10-09"
2694;"2018-12-20";"06:00:00";"3";
2441;"2018-12-13";"06:00:00";"3";"2019-06-13"
2646;"2018-12-11";"06:00:00";"3";
2213;"2018-11-14";"06:00:00";"3";"2019-09-05"
392;"2018-11-08";"06:00:00";"3";
735;"2018-11-08";"06:00:00";"3";
1229;"2018-11-07";"06:00:00";"3";
92;"2018-11-07";"08:00:00";"2";"2019-03-28"
1492;"2018-11-01";"06:00:00";"3";"2019-12-12"
488;"2018-11-01";"06:00:00";"3";"2019-10-24"
80;"2018-10-31";"08:00:00";"2";"2019-03-19"
2552;"2018-10-31";"06:00:00";"3";"2019-06-13"
2801;"2018-10-30";"06:00:00";"3";
2863;"2018-10-30";"06:00:00";"3";
297;"2018-10-24";"06:00:00";"3";
2329;"2018-10-18";"06:00:00";"3";
447;"2018-10-17";"06:00:00";"3";
1507;"2018-10-14";"06:00:00";"3";"2019-04-11"
1539;"2018-10-11";"06:00:00";"3";
1449;"2018-10-10";"08:00:00";"2";
2521;"2018-10-10";"06:00:00";"3";
1401;"2018-10-10";"06:00:00";"3";"2019-04-10"
2089;"2018-10-09";"06:00:00";"3";"2019-04-30"
2492;"2018-10-04";"04:00:00";"1";"2018-12-19"
2535;"2018-10-02";"06:00:00";"3";"2018-12-18"
791;"2018-09-27";"06:00:00";"3";"2019-03-07"
2839;"2018-09-27";"06:00:00";"3";
439;"2018-09-25";"04:00:00";"3";
386;"2018-09-13";"06:00:00";"3";
2660;"2018-09-12";"08:00:00";"2";"2019-07-11"
534;"2018-09-12";"06:00:00";"3";"2019-03-13"
1163;"2018-09-12";"08:00:00";"2";"2019-02-28"
2416;"2018-09-12";"08:00:00";"2";"2019-02-01"
1303;"2018-09-12";"06:00:00";"3";"2019-04-30"
780;"2018-09-11";"08:00:00";"2";"2019-08-14"
311;"2018-09-06";"06:00:00";"3";
3149;"2018-09-06";"08:00:00";"2";"2019-01-17"
2678;"2018-09-05";"06:00:00";"3";"2019-03-19"
2088;"2018-08-30";"08:00:00";"2";"2018-12-20"
2797;"2018-08-30";"06:00:00";"3";
1325;"2018-08-29";"04:00:00";"1";"2019-05-30"
405;"2018-08-29";"08:00:00";"2";"2018-12-20"
135;"2018-08-29";"08:00:00";"2";"2018-12-19"
583;"2018-08-29";"05:00:00";"3";"2018-12-19"
2686;"2018-08-28";"06:00:00";"3";
2761;"2018-08-28";"06:00:00";"3";
582;"2018-08-28";"08:00:00";"2";"2018-11-13"
1191;"2018-08-23";"08:00:00";"2";"2018-12-19"
719;"2018-08-22";"08:00:00";"2";"2018-12-12"
2497;"2018-08-22";"08:00:00";"2";"2018-12-19"
2817;"2018-08-21";"06:00:00";"3";"2019-03-26"
631;"2018-08-21";"06:00:00";"3";"2018-10-24"
2269;"2018-08-16";"06:00:00";"3";"2018-12-11"
2589;"2018-08-09";"06:00:00";"3";"2019-01-29"
64;"2018-08-09";"06:00:00";"3";"2019-01-30"
2638;"2018-08-09";"06:00:00";"3";"2019-01-29"
102;"2018-08-08";"06:00:00";"3";
2653;"2018-08-06";"06:00:00";"3";
113;"2018-08-01";"06:00:00";"3";"2018-12-19"
2443;"2018-07-30";"06:00:00";"3";"2019-05-15"
485;"2018-07-26";"06:00:00";"3";"2018-12-14"
1506;"2018-07-23";"06:00:00";"3";"2019-07-02"
1083;"2018-07-20";"06:00:00";"3";"2019-02-28"
736;"2018-07-19";"06:00:00";"3";
1279;"2018-07-19";"06:00:00";"3";
3141;"2018-07-19";"06:00:00";"3";
1680;"2018-07-19";"06:00:00";"3";
1158;"2018-07-19";"06:00:00";"3";
1226;"2018-07-19";"06:00:00";"3";
2806;"2018-07-19";"06:00:00";"3";
1126;"2018-07-19";"06:00:00";"3";
2583;"2018-07-19";"06:00:00";"3";"2018-12-08"
383;"2018-07-18";"05:00:00";"3";"2018-12-05"
293;"2018-07-17";"06:00:00";"3";
1419;"2018-07-12";"06:00:00";"3";
566;"2018-07-11";"04:00:00";"3";
