IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
9,2702,GSI002,71,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2
14,2282,GSI002,0,Reprovado,0,1,1,1,1,0,0,0,2,1,2,2,2,1,0,2,2,2,2,1,2,2,1,2
18,2329,GSI002,87,Aprovado,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,1,1
19,2152,GSI002,68,Aprovado,1,2,2,2,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2
20,2152,GSI002,60,Aprovado,1,2,2,2,1,1,1,0,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2
25,2025,GSI002,73,Aprovado,1,2,2,2,1,1,1,1,2,0,2,2,2,1,2,2,2,2,2,2,2,2,1,2
30,1916,GSI002,0,Reprovado,1,1,1,1,1,2,2,1,1,0,0,0,0,1,1,2,0,1,1,1,1,2,1,2
31,1908,GSI002,40,Reprovado,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2
32,1908,GSI002,26,Reprovado,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2
35,2623,GSI002,92,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2
36,2623,GSI002,82,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2
38,2379,GSI002,0,Reprovado,1,2,1,2,1,0,1,0,2,1,2,2,2,0,2,2,2,2,2,1,2,1,1,0
43,2413,GSI002,46,Reprovado,1,2,0,2,2,1,1,1,2,0,2,2,2,1,2,2,2,2,2,1,2,2,1,2
51,2712,GSI002,77,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2
