IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2
9,2702,GSI002,71,Aprovado,1,2
14,2282,GSI002,0,Reprovado,0,1
18,2329,GSI002,87,Aprovado,1,1
19,2152,GSI002,68,Aprovado,1,2
20,2152,GSI002,60,Aprovado,1,2
25,2025,GSI002,73,Aprovado,1,2
30,1916,GSI002,0,Reprovado,1,1
31,1908,GSI002,40,Reprovado,1,1
32,1908,GSI002,26,Reprovado,1,1
35,2623,GSI002,92,Aprovado,1,2
36,2623,GSI002,82,Aprovado,1,2
38,2379,GSI002,0,Reprovado,1,2
43,2413,GSI002,46,Reprovado,1,2
51,2712,GSI002,77,Aprovado,1,2
52,2630,GSI002,77,Aprovado,1,2
54,2553,GSI002,21,Reprovado,1,2
55,2413,GSI002,68,Aprovado,1,2
58,2381,GSI002,0,Reprovado,1,2
63,2090,GSI002,94,Aprovado,0,2
64,2095,GSI002,80,Aprovado,1,2
65,2090,GSI002,60,Aprovado,1,2
67,2025,GSI002,22,Reprovado,1,2
70,2011,GSI002,92,Aprovado,1,2
72,1976,GSI002,7,Reprovado,1,2
79,1966,GSI002,91,Aprovado,1,1
80,2406,GSI002,70,Aprovado,1,2
82,2173,GSI002,60,Aprovado,1,2
84,1954,GSI002,71,Aprovado,1,1
88,2735,GSI002,63,Aprovado,1,2
91,2721,GSI002,76,Aprovado,1,2
94,2482,GSI002,35,Reprovado,1,2
96,2365,GSI002,88,Aprovado,1,2
99,2329,GSI002,89,Aprovado,1,1
102,2335,GSI002,81,Aprovado,1,1
103,2329,GSI002,90,Aprovado,1,1
108,1908,GSI002,74,Aprovado,1,1
109,2060,GSI002,71,Aprovado,1,2
111,2702,GSI002,100,Aprovado,1,2
115,2186,GSI002,0,Reprovado,1,1
117,1993,GSI002,50,Reprovado,1,2
118,2101,GSI002,30,Reprovado,1,1
119,2623,GSI002,60,Aprovado,1,2
121,2423,GSI002,69,Aprovado,0,1
123,2095,GSI002,70,Aprovado,1,2
127,2702,GSI002,66,Aprovado,1,2
129,2152,GSI002,60,Aprovado,1,2
130,2331,GSI002,30,Reprovado,0,2
131,1993,GSI002,75,Aprovado,1,2
132,2026,GSI002,63,Aprovado,1,2
133,2152,GSI002,43,Reprovado,1,2
134,2702,GSI002,65,Aprovado,1,2
135,2630,GSI002,63,Aprovado,1,2
138,1916,GSI002,73,Aprovado,1,1
143,2735,GSI002,72,Aprovado,1,2
145,2561,GSI002,81,Aprovado,1,2
146,2329,GSI002,0,Reprovado,0,1
149,2365,GSI002,65,Aprovado,1,2
154,1917,GSI002,17,Reprovado,0,0
155,1993,GSI002,72,Aprovado,1,2
160,2365,GSI002,75,Aprovado,1,2
161,1917,GSI002,0,Reprovado,0,0
164,2623,GSI002,99,Aprovado,1,2
168,2331,GSI002,0,Reprovado,0,2
171,2712,GSI002,66,Aprovado,1,2
175,2173,GSI002,78,Aprovado,1,2
177,1916,GSI002,4,Reprovado,1,1
181,2702,GSI002,86,Aprovado,1,2
182,2379,GSI002,20,Reprovado,1,2
184,1976,GSI002,0,Reprovado,0,2
185,1900,GSI002,0,Reprovado,0,1
186,2561,GSI002,94,Aprovado,1,2
207,2712,GSI002,100,Aprovado,1,2
