IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
9,1892,GSI005,74,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
14,2260,GSI005,11,Reprovado,1,0,0,1,1,2,1,2,1,2,2,2,1,1,2,2,2,1,1,1
18,2326,GSI005,60,Aprovado,1,1,2,2,1,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1
19,2154,GSI005,60,Aprovado,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
20,1671,GSI005,60,Aprovado,1,0,1,2,1,1,2,2,2,0,2,2,1,1,2,1,2,1,1,2
25,2024,GSI005,72,Aprovado,0,1,1,0,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
30,1582,GSI005,3,Reprovado,1,0,0,0,0,2,0,0,0,2,2,0,0,0,2,2,2,0,0,2
31,1911,GSI005,64,Aprovado,0,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,2,1,1,1
32,1582,GSI005,8,Reprovado,1,1,1,0,0,2,1,1,1,2,2,1,0,1,2,2,2,0,1,2
35,2622,GSI005,95,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
36,2622,GSI005,60,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
38,2368,GSI005,2,Reprovado,0,0,2,2,1,1,2,1,2,2,1,1,2,0,2,0,2,0,0,0
43,2485,GSI005,18,Reprovado,1,0,2,2,1,2,2,0,1,2,2,2,0,0,1,0,2,1,1,1
51,1892,GSI005,88,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
52,1892,GSI005,75,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
54,2507,GSI005,13,Reprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,0,1
55,2418,GSI005,72,Aprovado,1,1,1,0,1,1,2,1,2,2,1,1,2,0,2,1,2,1,1,0
58,2367,GSI005,0,Reprovado,0,0,2,2,0,2,2,0,0,0,2,2,0,0,0,0,2,0,0,0
63,2093,GSI005,73,Aprovado,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
64,2093,GSI005,76,Aprovado,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
65,2093,GSI005,13,Reprovado,1,2,1,0,2,2,2,1,1,2,2,2,0,0,0,2,2,1,0,1
67,2024,GSI005,15,Reprovado,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
72,1963,GSI005,6,Reprovado,1,1,1,1,1,2,1,0,2,1,2,2,0,1,2,2,2,0,1,2
76,1582,GSI005,71,Aprovado,1,1,1,1,1,2,1,1,1,2,2,0,0,1,2,2,2,1,1,2
79,1961,GSI005,90,Aprovado,1,1,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,1,1,1
80,2410,GSI005,72,Aprovado,1,1,2,2,1,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1
82,2154,GSI005,65,Aprovado,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
84,1949,GSI005,63,Aprovado,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1
88,2738,GSI005,63,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
91,2724,GSI005,67,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
94,2485,GSI005,60,Aprovado,1,1,2,2,1,2,2,1,1,2,2,2,1,1,0,1,2,1,1,1
96,2367,GSI005,68,Aprovado,1,1,2,2,1,2,2,1,1,1,2,2,1,1,1,1,2,1,1,1
99,2326,GSI005,62,Aprovado,1,0,2,2,1,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1
102,2326,GSI005,41,Reprovado,1,1,2,2,1,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1
108,1911,GSI005,46,Reprovado,1,1,1,1,1,0,2,2,2,0,2,2,1,1,1,1,2,1,1,1
109,2093,GSI005,69,Aprovado,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
111,1892,GSI005,100,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
115,2189,GSI005,0,Reprovado,0,0,0,0,2,2,2,0,0,2,2,2,0,0,0,2,2,0,0,1
117,1996,GSI005,1,Reprovado,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
118,1671,GSI005,16,Reprovado,1,0,1,2,1,1,2,2,2,0,2,2,1,0,2,1,2,0,1,2
119,2622,GSI005,60,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
121,2557,GSI005,73,Aprovado,1,1,2,2,1,2,1,1,1,0,2,2,1,1,0,1,2,1,1,1
122,1899,GSI005,40,Reprovado,1,1,1,2,0,1,2,1,1,2,2,2,2,1,2,1,2,1,1,1
123,2093,GSI005,80,Aprovado,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
127,1892,GSI005,76,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
130,2367,GSI005,1,Reprovado,1,1,2,2,1,2,2,1,1,1,2,2,1,0,1,1,2,1,1,1
131,1961,GSI005,61,Aprovado,1,1,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,1,1,1
132,1899,GSI005,0,Reprovado,0,0,0,2,0,0,2,0,0,2,2,2,2,0,2,0,2,1,0,1
133,2154,GSI005,60,Aprovado,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
134,1892,GSI005,49,Reprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
135,1892,GSI005,70,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
138,1911,GSI005,70,Aprovado,0,1,0,1,1,1,2,2,2,1,2,2,1,1,1,1,2,1,1,1
143,2738,GSI005,79,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
145,2557,GSI005,60,Aprovado,1,1,2,2,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,0
146,2326,GSI005,0,Reprovado,0,0,2,2,0,2,2,0,0,2,2,2,0,0,0,0,2,0,1,1
149,2410,GSI005,63,Aprovado,1,1,2,2,1,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1
154,1582,GSI005,0,Reprovado,0,1,1,0,0,2,0,0,0,2,2,0,0,0,2,2,2,0,0,2
155,1996,GSI005,60,Aprovado,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
160,2410,GSI005,60,Aprovado,1,1,2,2,1,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1
161,2326,GSI005,20,Reprovado,0,1,2,2,1,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1
164,2622,GSI005,68,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
168,2326,GSI005,14,Reprovado,1,0,2,2,1,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1
171,1892,GSI005,71,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
175,2154,GSI005,80,Aprovado,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
177,1582,GSI005,21,Reprovado,1,1,1,0,0,2,1,1,1,2,2,0,0,0,2,2,2,0,1,2
181,1892,GSI005,85,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
183,2724,GSI005,60,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
184,1981,GSI005,30,Reprovado,0,0,0,0,1,2,1,2,0,2,2,2,1,0,0,0,2,1,1,1
185,1899,GSI005,10,Reprovado,1,0,1,2,0,0,2,0,0,2,2,2,2,0,2,0,2,1,0,1
186,2557,GSI005,83,Aprovado,1,0,2,2,1,2,1,1,1,0,2,2,1,0,1,1,2,1,1,0
207,1892,GSI005,91,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
208,2738,GSI005,64,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
210,2738,GSI005,89,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
211,2738,GSI005,60,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
212,1892,GSI005,0,Reprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
215,1892,GSI005,100,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
216,1892,GSI005,78,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
217,1892,GSI005,39,Reprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
218,1892,GSI005,12,Reprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
219,2724,GSI005,82,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
220,2724,GSI005,64,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
224,1892,GSI005,67,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
225,1892,GSI005,60,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
228,1892,GSI005,24,Reprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
229,1892,GSI005,96,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
230,2622,GSI005,67,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
234,2658,GSI005,0,Reprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
235,2658,GSI005,75,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
237,2590,GSI005,60,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
241,2622,GSI005,71,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
242,2622,GSI005,100,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
243,2622,GSI005,73,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
244,2622,GSI005,60,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
247,2590,GSI005,60,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
248,2590,GSI005,60,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
249,2590,GSI005,60,Aprovado,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1
251,2368,GSI005,0,Reprovado,0,0,2,2,0,0,2,0,2,2,0,0,2,0,2,0,2,0,0,0
252,2557,GSI005,66,Aprovado,0,0,2,2,1,2,1,1,1,1,2,2,1,1,0,1,2,1,1,0
254,2557,GSI005,60,Aprovado,1,1,2,2,1,2,0,1,1,0,2,2,0,0,1,1,2,1,1,1
255,2557,GSI005,12,Reprovado,1,1,2,2,0,2,0,1,0,0,2,2,0,0,1,0,2,1,1,0
256,2557,GSI005,60,Aprovado,1,1,2,2,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1
257,2410,GSI005,0,Reprovado,1,0,2,2,0,2,2,0,0,2,2,2,0,0,1,0,2,0,0,0
261,2485,GSI005,60,Aprovado,1,0,2,2,1,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1
262,2410,GSI005,38,Reprovado,1,0,2,2,1,2,2,1,1,2,2,2,1,0,0,0,2,1,1,1
265,2418,GSI005,87,Aprovado,1,1,0,1,1,1,2,0,2,2,1,1,2,1,2,1,2,1,1,1
267,2332,GSI005,0,Reprovado,0,0,2,1,1,1,2,1,2,1,2,2,2,1,0,1,1,0,0,1
271,2326,GSI005,21,Reprovado,1,0,2,2,1,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1
272,2375,GSI005,91,Aprovado,1,1,2,0,1,1,2,0,2,2,1,1,2,0,2,0,2,1,1,1
274,2326,GSI005,24,Reprovado,1,1,2,2,1,2,2,1,0,2,2,2,0,1,1,1,2,1,1,1
275,2332,GSI005,0,Reprovado,0,0,2,1,1,1,2,1,2,1,2,2,2,1,0,1,1,0,0,1
276,2332,GSI005,69,Aprovado,1,0,2,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,0,1
277,2332,GSI005,95,Aprovado,1,1,2,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1
280,2326,GSI005,0,Reprovado,1,1,2,2,1,2,2,1,0,2,2,2,0,1,1,1,2,1,1,1
284,2326,GSI005,56,Reprovado,1,0,2,2,1,2,2,1,1,2,2,2,1,1,1,1,2,0,1,1
285,2326,GSI005,76,Aprovado,1,0,2,2,1,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1
287,1996,GSI005,24,Reprovado,1,1,0,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
288,2189,GSI005,85,Aprovado,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
295,2260,GSI005,20,Reprovado,1,1,0,1,1,2,1,2,1,2,2,2,1,1,2,2,2,1,1,1
302,1582,GSI005,0,Reprovado,0,1,0,0,0,2,0,0,0,2,2,0,0,0,2,2,2,0,0,2
310,2154,GSI005,63,Aprovado,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
312,2059,GSI005,5,Reprovado,1,2,1,0,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
313,1641,GSI005,17,Reprovado,1,2,0,1,2,2,2,1,1,2,2,2,1,1,1,1,2,1,1,2
314,1641,GSI005,0,Reprovado,1,2,0,1,2,2,2,1,1,2,2,2,1,1,1,1,2,1,1,2
315,2059,GSI005,64,Aprovado,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
316,2093,GSI005,65,Aprovado,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,0,1
318,2024,GSI005,0,Reprovado,1,1,1,1,2,2,2,0,1,2,2,2,1,1,1,2,2,1,1,1
319,2093,GSI005,94,Aprovado,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
321,2024,GSI005,68,Aprovado,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1
324,1641,GSI005,15,Reprovado,1,2,0,1,2,2,2,1,1,2,2,2,1,1,1,1,2,1,1,2
