IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
9,2662,GSI007,60,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
18,1999,GSI007,60,Aprovado,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,1,1,1
19,2115,GSI007,2,Reprovado,1,1,2,1,1,1,1,0,0,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,0,2
20,1965,GSI007,12,Reprovado,1,1,2,1,1,1,1,0,0,0,1,2,0,1,0,1,0,0,2,2,0,0,0,1,1,2
25,2016,GSI007,69,Aprovado,1,2,1,1,1,1,0,1,1,1,2,1,1,1,2,1,0,2,2,1,1,1,2,1,1,1
35,2624,GSI007,88,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
36,2593,GSI007,1,Reprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
37,1904,GSI007,32,Reprovado,1,1,2,0,2,0,1,1,0,0,2,1,0,1,1,1,1,2,2,2,1,0,2,1,0,0
43,2115,GSI007,61,Aprovado,1,1,2,1,1,0,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,0,1,2
51,2662,GSI007,60,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
52,2662,GSI007,60,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
62,2115,GSI007,33,Reprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,0,1,2
63,2094,GSI007,89,Aprovado,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2
64,2094,GSI007,71,Aprovado,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2
66,1999,GSI007,0,Reprovado,1,1,1,1,1,1,2,0,0,0,0,0,1,0,2,2,0,2,2,2,0,0,2,0,0,0
70,2017,GSI007,61,Aprovado,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2
72,1922,GSI007,5,Reprovado,1,1,2,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0,0,1,1,2
79,1965,GSI007,75,Aprovado,1,1,2,1,1,1,0,0,1,1,1,2,1,1,1,1,1,1,2,2,1,0,0,1,1,2
80,2284,GSI007,70,Aprovado,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1
82,2094,GSI007,50,Reprovado,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2
84,1922,GSI007,75,Aprovado,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2
88,2889,GSI007,67,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,2
91,1893,GSI007,73,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
94,2491,GSI007,60,Aprovado,1,2,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,1,1,2,1,1,1
96,2384,GSI007,73,Aprovado,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,2,2,2,2,0,1,1,1,1,1,2
99,2284,GSI007,65,Aprovado,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1
102,2284,GSI007,69,Aprovado,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1
103,2016,GSI007,60,Aprovado,1,2,1,0,1,1,1,1,1,1,2,0,1,1,2,1,1,2,2,1,1,1,2,1,1,1
108,1904,GSI007,0,Reprovado,1,1,2,1,2,0,1,1,0,0,2,0,1,0,0,0,0,2,2,2,0,0,2,0,0,0
109,2017,GSI007,60,Aprovado,1,2,2,2,2,1,0,0,1,2,2,0,2,2,0,1,1,1,2,1,1,1,1,1,1,2
111,2704,GSI007,85,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
