id,class,v1,v2
1,Iris-setosa,-3.3205322025623425,-0.2503393206627454
2,Iris-setosa,-3.8304573037777034,-0.2774934079681014
3,Iris-setosa,-3.8267511264954632,-0.27895163081192864
4,Iris-setosa,-3.654085745482079,-0.25078057215989946
5,Iris-setosa,-3.40942233737756,-0.2515141705323208
6,Iris-setosa,-3.8508351919501314,-0.23233391728039582
7,Iris-setosa,-3.5616560727623474,-0.2454807120710254
8,Iris-setosa,-3.202193150656469,-0.25103078427098546
9,Iris-setosa,-3.927643607677568,-0.24736080850761344
10,Iris-setosa,-3.7220206916183454,-0.24766749780408692
11,Iris-setosa,-3.576439460585702,-0.23963501662822811
12,Iris-setosa,-3.2889340739104846,-0.24994969315897886
13,Iris-setosa,-3.7939811606480993,-0.2569345367950601
14,Iris-setosa,-4.147063687408966,-0.2602560288853904
15,Iris-setosa,-4.102760119394018,-0.21818548238767693
16,Iris-setosa,-4.416619782369394,-0.22319341726687686
17,Iris-setosa,-3.8516426650528555,-0.23364683712836135
18,Iris-setosa,-3.271076443977311,-0.24642903868263805
19,Iris-setosa,-3.9206084217299364,-0.22509392059014902
20,Iris-setosa,-3.503891342322295,-0.23670549821407574
21,Iris-setosa,-3.4464077516066087,-0.22298357378731515
22,Iris-setosa,-3.3674786655767526,-0.22816877710260383
23,Iris-setosa,-3.8992007020094195,-0.2781557428803794
24,Iris-setosa,-2.820514795659995,-0.2141426373426518
25,Iris-setosa,-3.391741462100066,-0.2252334257789563
26,Iris-setosa,-3.765937967621859,-0.24398578285718425
27,Iris-setosa,-3.018920395602074,-0.23515853821682087
28,Iris-setosa,-3.3188086414566773,-0.24667832910621054
29,Iris-setosa,-3.317903491640681,-0.24613285287050884
30,Iris-setosa,-3.4949463149611817,-0.25079559371906035
31,Iris-setosa,-3.5641987563394557,-0.2493422862973292
32,Iris-setosa,-3.168588370861315,-0.19807149001830662
33,Iris-setosa,-3.8421917244659376,-0.2240207445295494
34,Iris-setosa,-4.1603316446130805,-0.2188457858210934
35,Iris-setosa,-3.6973817504548196,-0.25450552277529237
36,Iris-setosa,-3.5466882962986834,-0.2646166347239929
37,Iris-setosa,-3.473980231955304,-0.2177043534927663
38,Iris-setosa,-3.4408103603525255,-0.2423329274560447
39,Iris-setosa,-3.928823385191786,-0.2493895887134517
40,Iris-setosa,-3.188769560919457,-0.24836668174671112
41,Iris-setosa,-3.406488925725926,-0.25487132473030516
42,Iris-setosa,-4.505471737144178,-0.2656753446733954
43,Iris-setosa,-3.8549820810898696,-0.24993746334969189
44,Iris-setosa,-3.06595426773511,-0.2145630694987648
45,Iris-setosa,-3.486793246245846,-0.17752331906712934
46,Iris-setosa,-3.7948470343508074,-0.2582292488800177
47,Iris-setosa,-3.603947303472353,-0.24366683928944305
48,Iris-setosa,-3.700431230968499,-0.2510679262140901
49,Iris-setosa,-3.52300691909287,-0.24183069094696807
50,Iris-setosa,-3.3333126925910705,-0.25242943511406113
51,Iris-versicolor,1.7063210157024549,-0.013287753995895667
52,Iris-versicolor,1.4569630270009628,0.33813627801959595
53,Iris-versicolor,1.8080340181118837,-0.17546678272455746
54,Iris-versicolor,-0.1158192214304641,0.654625342032105
55,Iris-versicolor,1.3269704719037663,-0.12851013461201324
56,Iris-versicolor,0.5923632129588415,0.7197000635172258
57,Iris-versicolor,1.4752566214641112,0.5278149384621094
58,Iris-versicolor,-0.928492913093918,0.1471049652008334
59,Iris-versicolor,1.3192629861428644,-0.20477533116899269
60,Iris-versicolor,-0.054887343750404084,1.1251197198500187
61,Iris-versicolor,-0.7295936226387888,0.3517700986284738
62,Iris-versicolor,0.620369147046543,0.6191834274512116
63,Iris-versicolor,0.3597075547057395,-0.04861794392664135
64,Iris-versicolor,1.1235471463264748,0.6405294080950207
65,Iris-versicolor,-0.12466641891623638,0.5652058425183364
66,Iris-versicolor,1.344372002649895,-0.1083881385119882
67,Iris-versicolor,0.6910540460956693,0.9091485759006034
68,Iris-versicolor,0.10742889050687968,0.5982299151916274
69,Iris-versicolor,1.1818959310391897,0.13978395554597825
70,Iris-versicolor,-0.10296761850729873,0.2102857578973859
71,Iris-versicolor,1.6982185127052494,0.996514742790659
72,Iris-versicolor,0.4389168181208441,0.19169207236685304
73,Iris-versicolor,1.5448883391486365,-0.11722183973250079
74,Iris-versicolor,1.0396470466198793,0.8262724234001062
75,Iris-versicolor,0.9646407289931971,0.005256687302513003
76,Iris-versicolor,1.2188791510874681,-0.02638264844389634
77,Iris-versicolor,1.625294081499922,-0.2808549819950339
78,Iris-versicolor,2.020517657207888,-0.3231985614186151
79,Iris-versicolor,0.9646346220276205,0.6598383882157463
80,Iris-versicolor,-0.3850928193930803,0.14771855790714897
81,Iris-versicolor,-0.21263208647707482,0.13384516025893362
82,Iris-versicolor,-0.35269285344746826,0.12260094999028533
83,Iris-versicolor,0.0876166448707326,0.2078278103963856
84,Iris-versicolor,1.8810789485737198,0.464790388319873
85,Iris-versicolor,0.6102780750988217,1.119070056983186
86,Iris-versicolor,1.383767158431839,1.0016435108505877
87,Iris-versicolor,1.6508924870597603,-0.09405858253419021
88,Iris-versicolor,0.9714112857073252,-0.057905341349195075
89,Iris-versicolor,0.37071198748922873,0.863666807971507
90,Iris-versicolor,-0.06282064794538546,0.6691312456368004
91,Iris-versicolor,0.3201665861693801,0.8262500792967267
92,Iris-versicolor,1.0706379526061198,0.49496726604815844
93,Iris-versicolor,0.1326687400479668,0.3133599206697866
94,Iris-versicolor,-0.8877102576515105,0.11595155706965415
95,Iris-versicolor,0.23787345101653798,0.7389044601172741
96,Iris-versicolor,0.3907998091569777,0.868357119740208
97,Iris-versicolor,0.35218547298394853,0.728750501021251
98,Iris-versicolor,0.7795372921027226,0.18925510528296366
99,Iris-versicolor,-1.158319060415484,0.008546348595940702
100,Iris-versicolor,0.23778440103969056,0.6485497443708593
101,Iris-virginica,3.482561775514708,-0.47128054971893024
102,Iris-virginica,2.069699186641584,1.2817783669776395
103,Iris-virginica,3.665319748526929,-0.6893955451931892
104,Iris-virginica,2.688408814984504,-0.13908274381485825
105,Iris-virginica,3.0103328614543865,-0.4771942967006227
106,Iris-virginica,4.691619530865335,-1.0519770920455909
107,Iris-virginica,0.287739495122376,1.8400764434114756
108,Iris-virginica,4.187839241961052,-0.8509755452250668
109,Iris-virginica,2.8593166057021477,-0.038793770383077956
110,Iris-virginica,4.002190212888579,-0.8262763951104107
111,Iris-virginica,2.444836517441849,-0.3324970140498539
112,Iris-virginica,2.3466296112001404,-0.2267560544135088
113,Iris-virginica,3.1802676614580663,-0.5058444623803747
114,Iris-virginica,2.1380805810293464,1.4863715275073697
115,Iris-virginica,2.188608236290422,2.05208705394332
116,Iris-virginica,2.7946873850945195,-0.2987533204962223
117,Iris-virginica,2.6876108317783096,-0.13180306488758
118,Iris-virginica,4.835743028704015,-1.1596681513244709
119,Iris-virginica,5.02833848425811,-1.140555237356492
120,Iris-virginica,1.6833117403396645,0.2036819126895595
121,Iris-virginica,3.5263568986718554,-0.6143718638709117
122,Iris-virginica,2.0889063219054793,1.713934812056516
123,Iris-virginica,4.756405316869174,-1.06204291403375
124,Iris-virginica,1.8829486187746862,0.2641146358736593
125,Iris-virginica,3.3875830223558228,-0.5645904388928573
126,Iris-virginica,4.036257289021957,-0.7455379557820786
127,Iris-virginica,1.869376741918432,0.5057122044606206
128,Iris-virginica,1.706691667805018,0.6426269261488563
129,Iris-virginica,2.705575677582145,-0.3599333617439734
130,Iris-virginica,3.8477423155272445,-0.6829091647997931
131,Iris-virginica,4.102128259130762,-0.8224565624719132
132,Iris-virginica,4.9152333736153,-1.194758360575479
133,Iris-virginica,2.766192263155166,-0.389162955178062
134,Iris-virginica,1.7970943351467865,0.5370355042703296
135,Iris-virginica,2.391737340539285,0.3442563851271364
136,Iris-virginica,4.300896052943925,-0.902957857072678
137,Iris-virginica,3.1630995162530096,-0.434567694509548
138,Iris-virginica,2.7461437174449963,-0.0607567827768562
139,Iris-virginica,1.5731159978988145,0.6042939490796921
140,Iris-virginica,3.146918596044548,-0.5685696714595735
141,Iris-virginica,3.367140192915183,-0.5765697662663561
142,Iris-virginica,2.933237644315671,-0.40690597611946194
143,Iris-virginica,2.069699186641584,1.28177836697764
144,Iris-virginica,3.3955411283333277,-0.6607086128660052
145,Iris-virginica,3.6061422664156555,-0.5488194582036481
146,Iris-virginica,2.800358337764388,-0.43649722356350057
147,Iris-virginica,1.966646939698969,-0.0432427053069758
148,Iris-virginica,2.452684962420908,-0.2803872231484644
149,Iris-virginica,2.955114335530018,-0.3430865439277411
150,Iris-virginica,1.7864659702134709,1.0626153174523016
