image,"['v2', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8', 'v9', 'v10', 'v11', 'v12', 'v13', 'v14', 'v15', 'v16', 'v17', 'v18', 'v19', 'v20', 'v21', 'v22', 'v23', 'v24', 'v25', 'v26', 'v27', 'v28', 'v29', 'v30', 'v31', 'v32', 'v33', 'v34', 'v35', 'v36', 'v37', 'v38', 'v39', 'v40', 'v41', 'v42', 'v43', 'v44', 'v45', 'v46', 'v47', 'v48', 'v49', 'v50', 'v51', 'v52', 'v53', 'v54']"
in000579.jpg,"['0.00418926461442007', '0.00628696322600724', '0.00887234895345037', '0.006060665274528', '0.00543676977550823', '0.00584483442624136', '0.00243299301609351', '0.006999567613093', '0.00629959199891283', '0.00250973790735373', '0.00365324375807004', '0.00147577942217536', '0.00562217455653488', '0.00273843959062563', '0.00186000044489245', '0.00213273097397622', '0.00107494465991105', '0.00211673505973474', '0.0023640361360298', '0.00294432431138914', '0.00131874764711999', '0.00666416876291013', '0.00218187533614706', '0.0052376610470697', '0.00570639952037406', '0.00353419801541152', '0.0021147400885011', '0.00188294947381599', '0.00378229028762701', '0.00358717820437916', '0.00461876830626704', '0.00143351934022565', '0.00179691728380117', '0.00275248000954693', '0.00226210818489218', '0.00904273062623906', '0.00483608708196097', '0.00508559496607142', '0.00908437421828014', '0.00723735475846935', '0.00797666774300642', '0.00605043936112955', '0.00707874597410232', '0.00588379884326357', '0.0069384426064386', '0.00362981734990873', '0.00729320486443785', '0.00743420822214915', '0.00629097232116149', '0.00559380962597129', '0.00805061974817996', '0.00567176058765397', '0.00546452666106769']"
in000580.jpg,"['0.00415515064962315', '0.00618186902644039', '0.00901826179089181', '0.00598104166888423', '0.00535987520435071', '0.00556890700401353', '0.00245684066023524', '0.00690500341516346', '0.00636298795398347', '0.00250345068388782', '0.0039352480467892', '0.00160242675948612', '0.00556595559871589', '0.00259040541004905', '0.00196673412238759', '0.00212913241416527', '0.000871383028278738', '0.00199241840554589', '0.00239051552477446', '0.00291355840139298', '0.00136828820651583', '0.00668553196239772', '0.00226922639280743', '0.00527178401713547', '0.00571549738111792', '0.00369841798382801', '0.00194237214738572', '0.00189771841814779', '0.00373211475860542', '0.00360932640752602', '0.00457287765267795', '0.00144571563168498', '0.00178891513691502', '0.00275493744567246', '0.0022355431615977', '0.00905258406238398', '0.00478052632728118', '0.00505751065129231', '0.00912122921332689', '0.00717477059784451', '0.00802897736842466', '0.00585040243061644', '0.00714410799160548', '0.00568796102477506', '0.00706539554175191', '0.0036271640909431', '0.00743419791606787', '0.00754764375880329', '0.00628579363660874', '0.00557339517338135', '0.00810913457712373', '0.00563468664959231', '0.00538819681925627']"
in000581.jpg,"['0.00416434739664523', '0.00619783703336628', '0.00900282741307946', '0.00610417712299', '0.00567833130091906', '0.00560830550481327', '0.00245136299223247', '0.00701064829464477', '0.0064161600446382', '0.00251513602680253', '0.00397925497221802', '0.0015460438419649', '0.00561650629289608', '0.00260179111768957', '0.00186831463274093', '0.00215727476575914', '0.000896729230552923', '0.00202114188449851', '0.00237510744950309', '0.00282822384793768', '0.00143886877617308', '0.00665654563264741', '0.00224410550395573', '0.00496643186123509', '0.00576428323820075', '0.00374038198676397', '0.00193910967938156', '0.00191553953302602', '0.00406971725199083', '0.00349314683760385', '0.00460931247877686', '0.0012922468809402', '0.00192847650439836', '0.00276568964940543', '0.00231518591965699', '0.0088499669644489', '0.00497647928733311', '0.00508515990636894', '0.00903567973271461', '0.00724282363630249', '0.00801679209231871', '0.00599195486490171', '0.0071231554972729', '0.00578834441375109', '0.00698586354809091', '0.00354506823845376', '0.00728602398632399', '0.00756071206569912', '0.00633809201043619', '0.00551007093427836', '0.00811897166072797', '0.00570636959957308', '0.00538206791981051']"
in000582.jpg,"['0.00404190191967054', '0.00635130933889692', '0.00883572480626212', '0.00602864998116561', '0.00550764064832667', '0.00557751417402753', '0.00235304502628372', '0.00762754417143205', '0.00611731955447202', '0.00265287192215821', '0.00421836498395047', '0.0015857669300751', '0.00556599367157804', '0.00218388116718555', '0.00236075512220388', '0.0021390922003399', '0.000840001285478966', '0.00199406857445008', '0.0023749673660194', '0.00301779522167438', '0.00128351405629306', '0.00667393911390636', '0.00228440359296451', '0.0052421121304671', '0.00574379218001556', '0.00399450035290385', '0.0016903544443665', '0.00187372132085403', '0.00371672197911757', '0.00351141774768027', '0.00460420080564491', '0.00132975058128711', '0.00187658204409675', '0.00277295617060913', '0.00240546568289525', '0.00893736085352143', '0.0049162022263449', '0.00498832680438018', '0.00917530599196154', '0.00722538100711725', '0.0079262345338056', '0.00582776173016592', '0.0071575608351765', '0.0060593718039921', '0.00673105715277363', '0.00361711262775459', '0.0074718433195422', '0.00739629737126784', '0.00627962179547808', '0.00563946489798049', '0.0079236959293376', '0.00563825014731846', '0.0054963903265881']"
in000583.jpg,"['0.0040891252718529', '0.00625541227118313', '0.00884965179766333', '0.00608423825552559', '0.00552535285113595', '0.0057760064986376', '0.00242678971358639', '0.00809226454155668', '0.00581541480388827', '0.00280512350566515', '0.00434492927468089', '0.00154566798061292', '0.00546791924973', '0.00221906433802191', '0.00236301029718095', '0.00208687354984084', '0.000927349423188216', '0.00207573995498652', '0.00233858626442188', '0.00307562951135516', '0.0012241548735687', '0.00665929702263733', '0.00221719432568452', '0.00532692933192338', '0.00581448645727023', '0.00359761602178483', '0.00202363646598103', '0.00189821769056845', '0.00360708659568763', '0.00359571810343673', '0.0046383148666989', '0.00129090441074984', '0.00191729612623397', '0.00274802715140913', '0.00225488818470595', '0.0089052842029237', '0.0048472122666479', '0.00514137491039392', '0.0090551295098686', '0.00718827231993778', '0.00810015810953243', '0.00588831440108213', '0.00716163268007133', '0.00586814336483948', '0.00687255252520663', '0.00363194199409152', '0.00733033793934864', '0.00758012469902244', '0.00627810649388557', '0.00570946636706663', '0.00803446317175644', '0.00558588816351328', '0.00539022939454519']"
in000584.jpg,"['0.00417151949292099', '0.00659224721691951', '0.00852469678364464', '0.00605965639687587', '0.00563241157771505', '0.00525449538748562', '0.00250616076308956', '0.00770612941765718', '0.00624289593731548', '0.00270674136509939', '0.00479032123966355', '0.00153332557278097', '0.0055561849627358', '0.00228462102153837', '0.00222124198507839', '0.00217002189926503', '0.00089676771694515', '0.00192834538335314', '0.00235766360184368', '0.00298522189877985', '0.0013066120130876', '0.00666696220923806', '0.00234977039960228', '0.00525431473614238', '0.0058624811529646', '0.0037677453814581', '0.00184440404397876', '0.00192654375129325', '0.0036410500494256', '0.00360403266230616', '0.00458626948369811', '0.00140413006538405', '0.00177380480806839', '0.00276653830056752', '0.00230147152743344', '0.00888725034727249', '0.00496087202456293', '0.00527264560452475', '0.00894297651812568', '0.0071730446913827', '0.0080803174469784', '0.00602378840230608', '0.00705967335142949', '0.00568851106682746', '0.00712478220467799', '0.00361176180221934', '0.00731880023387829', '0.00758971136454108', '0.00620690233940207', '0.00558946398140836', '0.00814986743501888', '0.00554486183713837', '0.00539716292061304']"
in000585.jpg,"['0.00428350231228283', '0.00620299755987591', '0.00880384662821794', '0.0060698437281696', '0.00542976140932651', '0.00571230120829074', '0.00255897259965191', '0.00765172362795061', '0.00668477570118589', '0.00278763096694228', '0.00476190987122241', '0.00148750209654434', '0.0055687281355932', '0.00223884200333733', '0.00225351942126742', '0.00215628436320526', '0.000875427542824037', '0.00204200260508898', '0.00239093930984793', '0.00296775067439807', '0.00130823362300671', '0.00669784950260182', '0.00226808335478586', '0.00548249491858222', '0.0057976038022999', '0.00365758050043658', '0.00197380323140778', '0.00187869013610759', '0.00347264512933597', '0.00353080262440421', '0.00458658633716166', '0.0014160224260688', '0.00174140499969904', '0.0027813141406441', '0.00233344216134982', '0.00888421208545205', '0.00495913242622732', '0.00534346891237057', '0.00878789873444284', '0.00726390613598927', '0.00795295144735514', '0.00567838727852182', '0.00709860898024112', '0.00610332172745424', '0.00662787092434413', '0.00353213071760474', '0.00756475784606049', '0.00769318757228533', '0.00623744085709495', '0.00558885613845751', '0.00801708399877776', '0.00570130867475273', '0.00525412627823277']"
in000586.jpg,"['0.00415290591867514', '0.00659776143768465', '0.00843491830425314', '0.00607883566195872', '0.00551384843189386', '0.00582710306950144', '0.0026709326807814', '0.00753050678643057', '0.00715072466721136', '0.00281139575666552', '0.00494557451646875', '0.0014409904834042', '0.00552172060008051', '0.00196608430435861', '0.00253876172413891', '0.00207922011172772', '0.000937176998950363', '0.00202255205312137', '0.00233751192856658', '0.00302140797995684', '0.00130988329516932', '0.00663691835850842', '0.00227468022191553', '0.00544345128738118', '0.00568808864035598', '0.00384585706203718', '0.00188166652492281', '0.00188053313962609', '0.00360156806972066', '0.00349237058016138', '0.00459449467423095', '0.00133667563385955', '0.00186597381974624', '0.00277066206455359', '0.00241085185779576', '0.00887120974650296', '0.00480466822345185', '0.00522125142280986', '0.00896479284833458', '0.00717962463962316', '0.0081549288115684', '0.00593290246727915', '0.00711091733114009', '0.00584054935057479', '0.00696919268564685', '0.00357419311361307', '0.00737064481625811', '0.00761269756786722', '0.00623487034703874', '0.00558903237686889', '0.00808287242608068', '0.00568080727155603', '0.00537594698476154']"
in000587.jpg,"['0.00418153712180457', '0.00711225457807782', '0.0080262752600301', '0.00602388575251953', '0.00549411783385118', '0.00541628564223067', '0.00284294104926691', '0.00757252676324373', '0.00741361895473638', '0.00280642842209796', '0.00562378026088784', '0.00159153389457537', '0.00539190150264874', '0.00228530308510208', '0.00225094873763313', '0.00205846533537825', '0.000871816944776184', '0.00198152203747886', '0.00239040582526328', '0.00292902099561141', '0.00132469275926216', '0.00666998201064716', '0.00230393422219174', '0.00514687551951168', '0.005782181806386', '0.00373778174563845', '0.00187735862980032', '0.0018805631741673', '0.00383698248856993', '0.00341417654789842', '0.00457546496116255', '0.00134467356668906', '0.00184755449648455', '0.00274799963959921', '0.00239721315659818', '0.0088798780585951', '0.00482992135536854', '0.00518027753662408', '0.00899084649109131', '0.00718179942384732', '0.00804444711803387', '0.00562616636438084', '0.00715534123792505', '0.00585030784816571', '0.0069157427679002', '0.00356953208871857', '0.00757443437164644', '0.00757406498898647', '0.0061812634883026', '0.00557066266806651', '0.00818685616568337', '0.00554877854112106', '0.00542943088239453']"
in000588.jpg,"['0.00423945704902644', '0.00702637057603013', '0.00799550661255659', '0.00611285491761376', '0.00543378316372927', '0.0060860140857533', '0.00302085854615093', '0.00729519681859156', '0.00810271230925033', '0.00285489254565988', '0.00549982815615896', '0.00152143692616938', '0.00528793737991519', '0.00234138003882102', '0.00222854448903449', '0.0020358602137011', '0.000885978307329776', '0.00200423287130648', '0.00236010621574983', '0.00309138658781734', '0.00117373295264549', '0.00666109508430534', '0.00230700225068857', '0.00504368042261983', '0.00579474314009458', '0.00385717764791307', '0.00175686541878677', '0.00186132622924771', '0.00394808861518766', '0.00357557843847301', '0.00460178157510654', '0.0012204796129419', '0.00195481004197183', '0.00273556809002895', '0.00227673976322746', '0.00896304973786947', '0.00487223146036499', '0.00519512791566756', '0.0089850328044706', '0.00716155115315427', '0.00797404585612727', '0.00591264553960002', '0.00711676161286161', '0.00588869555589371', '0.00691364618976707', '0.00360046559950268', '0.00739647773381807', '0.00752111275524296', '0.00623380398917019', '0.00561575878073102', '0.00804530489385727', '0.00556713301134039', '0.00545939227110834']"
